,City,Colors Reported,Shape Reported,State,Time,Date,Location
7741,Olympia,RED,,WA,20:00,1995-01-30,"Olympia, WA"
7742,Harrisburg,,,PA,20:29,1995-01-30,"Harrisburg, PA"
7743,Spanaway,,,WA,02:00,1995-01-31,"Spanaway, WA"
7744,Alexandria,,,LA,19:32,1995-01-31,"Alexandria, LA"
7745,Mason,,,MI,20:07,1995-01-31,"Mason, MI"
7746,Eaton Rapids,,,MI,20:10,1995-01-31,"Eaton Rapids, MI"
7747,Bolivar - 170th,,TRIANGLE,MO,04:00,1995-02-01,"Bolivar - 170th, MO"
7748,Fort Lewis,GREEN,,WA,12:00,1995-02-01,"Fort Lewis, WA"
7749,Seatac,RED,,WA,04:00,1995-02-02,"Seatac, WA"
7750,Denmark,,CONE,WI,19:15,1995-02-02,"Denmark, WI"
7751,Eastport,,,MI,20:00,1995-02-02,"Eastport, MI"
7752,Traverse City,,,MI,20:10,1995-02-02,"Traverse City, MI"
7753,Shady Grove,GREEN,,OR,23:00,1995-02-02,"Shady Grove, OR"
7754,Romulus,,,MI,21:30,1995-02-03,"Romulus, MI"
7755,Fontana,,,CA,23:25,1995-02-03,"Fontana, CA"
7756,New Orleans,,,LA,00:00,1995-02-04,"New Orleans, LA"
7757,Lynnwood,,,WA,15:05,1995-02-04,"Lynnwood, WA"
7758,Lewiston,RED,,MT,17:33,1995-02-04,"Lewiston, MT"
7759,Lewiston,,,MT,18:45,1995-02-04,"Lewiston, MT"
7760,Chimacum,,,WA,19:00,1995-02-04,"Chimacum, WA"
7761,Port Hadlock,,,WA,19:10,1995-02-04,"Port Hadlock, WA"
7762,Atlanta,,,GA,00:00,1995-02-05,"Atlanta, GA"
7763,Greensville,,,NC,01:30,1995-02-05,"Greensville, NC"
7764,Bloomington,,,IL,00:00,1995-02-06,"Bloomington, IL"
7765,Little Rock,,DISK,AR,18:28,1995-02-06,"Little Rock, AR"
7766,Nine Mile Falls,,,WA,19:30,1995-02-06,"Nine Mile Falls, WA"
7767,Hamilton,,LIGHT,TX,20:30,1995-02-06,"Hamilton, TX"
7768,Raymond,,,WA,00:00,1995-02-07,"Raymond, WA"
7769,Seattle,,,WA,00:00,1995-02-07,"Seattle, WA"
7770,Quilcene,,,WA,04:55,1995-02-07,"Quilcene, WA"
7771,Renton,GREEN,,WA,16:30,1995-02-07,"Renton, WA"
7772,Tacoma,,,WA,20:35,1995-02-07,"Tacoma, WA"
7773,Shawnee,RED,,OK,21:10,1995-02-07,"Shawnee, OK"
7774,Tidewater,,,OR,23:00,1995-02-07,"Tidewater, OR"
7775,Tillamook,RED BLUE,,OR,00:00,1995-02-08,"Tillamook, OR"
7776,North Bend,,,WA,05:30,1995-02-08,"North Bend, WA"
7777,Renton,,,WA,18:32,1995-02-08,"Renton, WA"
7778,Auburn,,,ME,00:00,1995-02-09,"Auburn, ME"
7779,Huntington Beach,ORANGE,,CA,00:00,1995-02-09,"Huntington Beach, CA"
7780,Anaheim,,,CA,17:40,1995-02-09,"Anaheim, CA"
7781,Vancouver,,,WA,19:00,1995-02-09,"Vancouver, WA"
7782,Vancouver,GREEN,,WA,19:00,1995-02-09,"Vancouver, WA"
7783,Billings,,,MT,00:00,1995-02-10,"Billings, MT"
7784,Oregon City,,,OR,00:00,1995-02-10,"Oregon City, OR"
7785,Seattle,,,WA,00:00,1995-02-10,"Seattle, WA"
7786,Downey,,CIRCLE,CA,20:00,1995-02-10,"Downey, CA"
7787,Cannon Beach,,,OR,20:30,1995-02-10,"Cannon Beach, OR"
7788,Elizabethtown,,,KY,00:45,1995-02-12,"Elizabethtown, KY"
7789,McKinleyville,,,CA,06:25,1995-02-12,"McKinleyville, CA"
7790,El Cerrito,RED,,CA,21:00,1995-02-12,"El Cerrito, CA"
7791,Gustavus,ORANGE,,AK,22:30,1995-02-12,"Gustavus, AK"
7792,Cheboygan,,,MI,22:15,1995-02-13,"Cheboygan, MI"
7793,Chico,,,CA,23:28,1995-02-14,"Chico, CA"
7794,Nashville,,,TN,03:58,1995-02-15,"Nashville, TN"
7795,Ohio,,DISK,OH,04:00,1995-02-15,"Ohio, OH"
7796,Fair Oaks,,,NY,04:40,1995-02-15,"Fair Oaks, NY"
7797,Vaiden,,CIGAR,MS,07:30,1995-02-15,"Vaiden, MS"
7798,North Washington,,SPHERE,PA,20:00,1995-02-15,"North Washington, PA"
7799,Phoenix,,LIGHT,AZ,20:00,1995-02-15,"Phoenix, AZ"
7800,Sacramento,,,CA,20:00,1995-02-15,"Sacramento, CA"
7801,Liberal,,,KS,21:00,1995-02-15,"Liberal, KS"
7802,Santa Rosa,,,CA,21:00,1995-02-15,"Santa Rosa, CA"
7803,Lyndhurst,,,OH,21:30,1995-02-15,"Lyndhurst, OH"
7804,Lyndhurst,BLUE,,OH,21:30,1995-02-15,"Lyndhurst, OH"
7805,Johnson City,,,TN,00:00,1995-02-16,"Johnson City, TN"
7806,Sacramento,,,CA,00:00,1995-02-16,"Sacramento, CA"
7807,Albuquerque,,,NM,19:26,1995-02-16,"Albuquerque, NM"
7808,Lyndhurst,BLUE,TRIANGLE,OH,21:25,1995-02-16,"Lyndhurst, OH"
7809,Kalamazoo,,,MI,23:10,1995-02-16,"Kalamazoo, MI"
7810,PawPaw,,,MI,23:15,1995-02-16,"PawPaw, MI"
7811,Des Plaines,,,IL,23:45,1995-02-16,"Des Plaines, IL"
7812,Kalamazoo,,,MI,23:45,1995-02-16,"Kalamazoo, MI"
7813,Seatac,,,WA,22:30,1995-02-17,"Seatac, WA"
7814,Andover,,SPHERE,MA,10:00,1995-02-18,"Andover, MA"
7815,Vantage,,,WA,12:00,1995-02-18,"Vantage, WA"
7816,Warren,,,IL,18:00,1995-02-18,"Warren, IL"
7817,Kalamazoo,,,MI,21:00,1995-02-18,"Kalamazoo, MI"
7818,Fargo,,,ND,00:05,1995-02-19,"Fargo, ND"
7819,Mountlake Terrace,,,WA,00:15,1995-02-19,"Mountlake Terrace, WA"
7820,Fenton,,,MI,19:00,1995-02-19,"Fenton, MI"
7821,Seattle,,,WA,19:00,1995-02-19,"Seattle, WA"
7822,Phoenix,,,AZ,22:00,1995-02-19,"Phoenix, AZ"
7823,North Cove,,FIREBALL,WA,02:30,1995-02-20,"North Cove, WA"
7824,Albuquerque,,,NM,13:00,1995-02-20,"Albuquerque, NM"
7825,Seattle,,,WA,13:05,1995-02-20,"Seattle, WA"
7826,Warren,,,IL,18:00,1995-02-20,"Warren, IL"
7827,Redding,,TRIANGLE,CA,19:00,1995-02-20,"Redding, CA"
7828,Lake Tahuyeh,,,WA,01:10,1995-02-21,"Lake Tahuyeh, WA"
7829,Sprague River,,,OR,03:00,1995-02-21,"Sprague River, OR"
7830,Council Bluffs,,,IA,19:00,1995-02-21,"Council Bluffs, IA"
7831,Lynnwood,,,WA,19:00,1995-02-21,"Lynnwood, WA"
7832,Colville Reservation,,,WA,20:30,1995-02-21,"Colville Reservation, WA"
7833,Yakima,RED,,WA,21:30,1995-02-21,"Yakima, WA"
7834,St. Louis,,,MO,01:15,1995-02-22,"St. Louis, MO"
7835,Woodinville,,,WA,02:30,1995-02-22,"Woodinville, WA"
7836,Vancouver,GREEN,,WA,05:36,1995-02-22,"Vancouver, WA"
7837,Seattle,GREEN,,WA,05:37,1995-02-22,"Seattle, WA"
7838,Mill Creek,BLUE,,WA,05:45,1995-02-22,"Mill Creek, WA"
7839,Kent,,,WA,20:00,1995-02-22,"Kent, WA"
7840,Auburn,,,WA,23:00,1995-02-22,"Auburn, WA"
7841,Seattle,GREEN,,WA,00:00,1995-02-23,"Seattle, WA"
7842,Tacoma,,,WA,00:05,1995-02-23,"Tacoma, WA"
7843,Hage,,,FL,02:45,1995-02-23,"Hage, FL"
7844,Snohomish,,,WA,18:20,1995-02-23,"Snohomish, WA"
7845,El Centro,,,CA,21:00,1995-02-23,"El Centro, CA"
7846,Lexington,,,KY,22:00,1995-02-23,"Lexington, KY"
7847,Redding,,,CA,22:00,1995-02-23,"Redding, CA"
7848,Fernley,RED,,NV,20:45,1995-02-24,"Fernley, NV"
7849,Cam Highway,,,HI,23:00,1995-02-24,"Cam Highway, HI"
7850,Mercer Island,RED BLUE,,WA,23:45,1995-02-24,"Mercer Island, WA"
7851,Portland,GREEN,,OR,20:20,1995-02-25,"Portland, OR"
7852,Tallassee,,,TN,20:00,1995-02-26,"Tallassee, TN"
7853,Stanwood,,,WA,21:00,1995-02-26,"Stanwood, WA"
7854,Mt. Vernon,,,WA,23:30,1995-02-26,"Mt. Vernon, WA"
7855,Harrisonburg,,,VA,12:00,1995-02-27,"Harrisonburg, VA"
7856,Mukilteo,,,WA,19:59,1995-02-27,"Mukilteo, WA"
7857,Electric City,,,WA,05:00,1995-02-28,"Electric City, WA"
7858,Harrisonburg,,,VA,19:00,1995-02-28,"Harrisonburg, VA"
7859,Eastgate,,,WA,22:00,1995-02-28,"Eastgate, WA"
7860,Greenville,,LIGHT,IL,21:00,1995-03-01,"Greenville, IL"
7861,Sedalia,,,MO,21:00,1995-03-01,"Sedalia, MO"
7862,Redmond,RED,,WA,22:30,1995-03-02,"Redmond, WA"
7863,Prescott Valley,,OVAL,AZ,00:00,1995-03-04,"Prescott Valley, AZ"
7864,Folsom,,,NJ,16:32,1995-03-04,"Folsom, NJ"
7865,Anaheim,,OTHER,CA,12:00,1995-03-05,"Anaheim, CA"
7866,Columbus,,,OH,00:55,1995-03-06,"Columbus, OH"
7867,Hilltop,,,NJ,19:00,1995-03-06,"Hilltop, NJ"
7868,Florence,,,OR,19:10,1995-03-06,"Florence, OR"
7869,Mountain City,,,TN,19:45,1995-03-06,"Mountain City, TN"
7870,Ft. Bragg,,,CA,22:09,1995-03-06,"Ft. Bragg, CA"
7871,Burley,,,WA,23:30,1995-03-06,"Burley, WA"
7872,Tucumcari,,,NM,04:00,1995-03-07,"Tucumcari, NM"
7873,Bellevue,,,WA,05:30,1995-03-07,"Bellevue, WA"
7874,Geneva,,LIGHT,NY,15:00,1995-03-07,"Geneva, NY"
7875,Portland,RED,,OR,19:20,1995-03-07,"Portland, OR"
7876,Portland,RED,,OR,21:25,1995-03-07,"Portland, OR"
7877,Ammon,,,ID,05:45,1995-03-08,"Ammon, ID"
7878,Byron Center,YELLOW,,MI,22:00,1995-03-08,"Byron Center, MI"
7879,Lake Jackson,,,TX,23:00,1995-03-08,"Lake Jackson, TX"
7880,Plant City,,,FL,21:00,1995-03-09,"Plant City, FL"
7881,Portland,,,OR,20:45,1995-03-10,"Portland, OR"
7882,"Coconino Nat'l Forest north of Wupatki NM, AZ",BLUE,FORMATION,AZ,22:00,1995-03-10,"Coconino Nat'l Forest north of Wupatki NM, AZ, AZ"
7883,Chesapeake,RED ORANGE,,VA,03:00,1995-03-11,"Chesapeake, VA"
7884,Las Vegas,,,NV,19:30,1995-03-11,"Las Vegas, NV"
7885,Fort Wayne,,,IN,20:00,1995-03-11,"Fort Wayne, IN"
7886,Show Low,,,AZ,21:45,1995-03-11,"Show Low, AZ"
7887,Leavenworth,,,KS,20:30,1995-03-12,"Leavenworth, KS"
7888,Norfolk,,,VA,21:00,1995-03-12,"Norfolk, VA"
7889,Borrego Springs,,TRIANGLE,CA,22:00,1995-03-12,"Borrego Springs, CA"
7890,Avondale,,,AZ,23:30,1995-03-12,"Avondale, AZ"
7891,Columbia,,,SC,23:41,1995-03-12,"Columbia, SC"
7892,Cumberland,,,MD,23:54,1995-03-12,"Cumberland, MD"
7893,Cumberland,,,MD,23:54,1995-03-12,"Cumberland, MD"
7894,Cumberland,,,MD,23:54,1995-03-12,"Cumberland, MD"
7895,Seattle,YELLOW,,WA,18:30,1995-03-13,"Seattle, WA"
7896,Seattle,BLUE,,WA,21:07,1995-03-14,"Seattle, WA"
7897,Seattle,,,WA,21:08,1995-03-14,"Seattle, WA"
7898,Seattle,BLUE,,WA,21:08,1995-03-14,"Seattle, WA"
7899,Seattle,BLUE,,WA,21:10,1995-03-14,"Seattle, WA"
7900,Wenatchee,,,WA,21:10,1995-03-14,"Wenatchee, WA"
7901,N. Judson,,,IN,21:45,1995-03-14,"N. Judson, IN"
7902,North Judson,,,IN,21:45,1995-03-14,"North Judson, IN"
7903,Fontana,,,CA,22:05,1995-03-14,"Fontana, CA"
7904,Whatcom County,,DISK,WA,03:00,1995-03-15,"Whatcom County, WA"
7905,Haymarket,,SPHERE,VA,05:25,1995-03-15,"Haymarket, VA"
7906,San Antonio,,FIREBALL,TX,06:30,1995-03-15,"San Antonio, TX"
7907,Orlando,,,FL,14:00,1995-03-15,"Orlando, FL"
7908,Shepard AFB,,OTHER,TX,17:45,1995-03-15,"Shepard AFB, TX"
7909,Danbury,,CHEVRON,CT,20:00,1995-03-15,"Danbury, CT"
7910,Fontana,BLUE,,CA,20:30,1995-03-15,"Fontana, CA"
7911,Fontana,,LIGHT,CA,20:30,1995-03-15,"Fontana, CA"
7912,Clinton,,VARIOUS,IL,21:00,1995-03-15,"Clinton, IL"
7913,Cannis City,,,FL,21:30,1995-03-15,"Cannis City, FL"
7914,Howell,,TRIANGLE,MI,22:00,1995-03-15,"Howell, MI"
7915,Grain Valley,,,MO,22:30,1995-03-15,"Grain Valley, MO"
7916,Jefferson City,,,MO,22:30,1995-03-15,"Jefferson City, MO"
7917,Jefferson City,,,MO,22:30,1995-03-15,"Jefferson City, MO"
7918,St. Louis,,,MO,22:30,1995-03-15,"St. Louis, MO"
7919,Litchfield,BLUE,,IL,22:32,1995-03-15,"Litchfield, IL"
7920,Collinsville,BLUE,,IL,22:40,1995-03-15,"Collinsville, IL"
7921,Gainesville,,,FL,23:00,1995-03-15,"Gainesville, FL"
7922,Vienna,,,VA,23:17,1995-03-15,"Vienna, VA"
7923,Fairmont,YELLOW GREEN,,WV,23:25,1995-03-15,"Fairmont, WV"
7924,S. Greensburg,,,PA,23:28,1995-03-15,"S. Greensburg, PA"
7925,Jackson,RED BLUE,,TN,23:32,1995-03-15,"Jackson, TN"
7926,Molalla,,,OR,00:00,1995-03-16,"Molalla, OR"
7927,Toledo,,,OH,23:45,1995-03-16,"Toledo, OH"
7928,Lockwood,,,NV,16:00,1995-03-17,"Lockwood, NV"
7929,Flint,,,MI,19:40,1995-03-17,"Flint, MI"
7930,Evington,,,VA,22:00,1995-03-17,"Evington, VA"
7931,Boulder Creek,,,CA,23:30,1995-03-17,"Boulder Creek, CA"
7932,Bakersfield,,,CA,21:49,1995-03-18,"Bakersfield, CA"
7933,Bakersfield,,,CA,21:49,1995-03-18,"Bakersfield, CA"
7934,Mobile,,,AL,19:30,1995-03-19,"Mobile, AL"
7935,Jacksonville,,,FL,20:00,1995-03-19,"Jacksonville, FL"
7936,Patricia,,,TX,20:31,1995-03-19,"Patricia, TX"
7937,Fayetteville,,CYLINDER,NC,00:00,1995-03-20,"Fayetteville, NC"
7938,Ft Benning,,CIRCLE,GA,23:00,1995-03-20,"Ft Benning, GA"
7939,Beaver,,TEARDROP,OK,04:30,1995-03-21,"Beaver, OK"
7940,Bedford,,,VA,05:10,1995-03-22,"Bedford, VA"
7941,Redmond,,,WA,17:30,1995-03-22,"Redmond, WA"
7942,Everett,,,WA,21:30,1995-03-22,"Everett, WA"
7943,Hwy. 18,,,WA,01:30,1995-03-23,"Hwy. 18, WA"
7944,Snoqualmie,,DISK,WA,01:30,1995-03-23,"Snoqualmie, WA"
7945,Spokane,,,WA,21:23,1995-03-23,"Spokane, WA"
7946,Lake Havasu,,,AZ,22:00,1995-03-23,"Lake Havasu, AZ"
7947,Flint,,,MI,22:25,1995-03-23,"Flint, MI"
7948,North Dade,,,FL,01:27,1995-03-24,"North Dade, FL"
7949,Las Vegas,,,NV,05:00,1995-03-24,"Las Vegas, NV"
7950,Las Vegas,,,NV,05:00,1995-03-24,"Las Vegas, NV"
7951,Grover Beach,,,CA,00:00,1995-03-25,"Grover Beach, CA"
7952,Monterey,,,CA,00:00,1995-03-25,"Monterey, CA"
7953,Seattle,,,WA,17:00,1995-03-25,"Seattle, WA"
7954,Fort Wayne,,,IN,18:20,1995-03-25,"Fort Wayne, IN"
7955,Burien,,,WA,19:00,1995-03-25,"Burien, WA"
7956,Kingsford Heights,,TRIANGLE,IN,22:00,1995-03-25,"Kingsford Heights, IN"
7957,Redmond,,,WA,22:30,1995-03-25,"Redmond, WA"
7958,Auburn,,,WA,23:10,1995-03-25,"Auburn, WA"
7959,Salinas,,,CA,23:10,1995-03-25,"Salinas, CA"
7960,Scottsdale,,,AZ,17:37,1995-03-26,"Scottsdale, AZ"
7961,Loveland,,LIGHT,CO,21:15,1995-03-27,"Loveland, CO"
7962,Harmony,,,ME,21:50,1995-03-27,"Harmony, ME"
7963,Florence,,,OR,22:00,1995-03-27,"Florence, OR"
7964,San Francisco,,,CA,23:00,1995-03-27,"San Francisco, CA"
7965,Cordova,,,AK,00:36,1995-03-28,"Cordova, AK"
7966,McAllen,,DISK,TX,22:00,1995-03-28,"McAllen, TX"
7967,Ventura,,,CA,01:31,1995-03-29,"Ventura, CA"
7968,Shippensburg,BLUE,OTHER,PA,06:30,1995-03-29,"Shippensburg, PA"
7969,Rainsville,ORANGE,,AL,14:36,1995-03-29,"Rainsville, AL"
7970,Elma,,,WA,20:15,1995-03-29,"Elma, WA"
7971,Jacksonville,,,FL,20:35,1995-03-29,"Jacksonville, FL"
7972,Mt. Ranch,,,CA,23:54,1995-03-29,"Mt. Ranch, CA"
7973,Fort Wayne,,,IN,00:00,1995-03-30,"Fort Wayne, IN"
7974,Honolulu,YELLOW,,HI,00:00,1995-03-30,"Honolulu, HI"
7975,Eugene,,,OR,04:45,1995-03-30,"Eugene, OR"
7976,Hollywood,,CIGAR,CA,05:30,1995-03-30,"Hollywood, CA"
7977,Warren,,,MI,19:30,1995-03-30,"Warren, MI"
7978,Murphy,,,NC,23:32,1995-03-30,"Murphy, NC"
7979,Placerville,,,CA,21:45,1995-03-31,"Placerville, CA"
7980,Costa Mesa,RED,,CA,05:30,1995-04-01,"Costa Mesa, CA"
7981,Albany,,OTHER,OR,18:00,1995-04-01,"Albany, OR"
7982,Holyoke,,LIGHT,MA,18:00,1995-04-01,"Holyoke, MA"
7983,Mountlake Terrace,,,WA,21:00,1995-04-01,"Mountlake Terrace, WA"
7984,Knoxville,,,TN,10:20,1995-04-02,"Knoxville, TN"
7985,Central U.S.,,DIAMOND,ND,13:00,1995-04-02,"Central U.S., ND"
7986,Smith River,,,CA,23:25,1995-04-02,"Smith River, CA"
7987,Bakersfield,,,CA,02:00,1995-04-03,"Bakersfield, CA"
7988,Haslett,,,MI,10:30,1995-04-03,"Haslett, MI"
7989,Williamsburg,,SPHERE,VA,04:00,1995-04-04,"Williamsburg, VA"
7990,Folsom,,,NJ,23:50,1995-04-04,"Folsom, NJ"
7991,Bakersfield,,,CA,01:00,1995-04-05,"Bakersfield, CA"
7992,Mesa,,DISK,AZ,12:01,1995-04-05,"Mesa, AZ"
7993,Boyertown,,,PA,21:45,1995-04-05,"Boyertown, PA"
7994,Burlington,,,NJ,00:58,1995-04-06,"Burlington, NJ"
7995,Hendersonville,,TRIANGLE,TN,17:00,1995-04-07,"Hendersonville, TN"
7996,Boulder,,,CO,21:00,1995-04-07,"Boulder, CO"
7997,Pridice Valley,,TRIANGLE,AZ,17:00,1995-04-09,"Pridice Valley, AZ"
7998,Alvin,,OTHER,TX,00:30,1995-04-10,"Alvin, TX"
7999,Apple Valley,BLUE,,CA,01:30,1995-04-10,"Apple Valley, CA"
8000,Goleta,,,CA,02:25,1995-04-10,"Goleta, CA"
8001,Tajunga,,,CA,02:25,1995-04-10,"Tajunga, CA"
8002,Yarldey,GREEN,OTHER,PA,12:00,1995-04-10,"Yarldey, PA"
8003,Newport,,OTHER,MI,21:00,1995-04-10,"Newport, MI"
8004,Norristown,,CIRCLE,PA,21:00,1995-04-12,"Norristown, PA"
8005,Richmond,,,VA,21:45,1995-04-12,"Richmond, VA"
8006,Friday Harbor,,DIAMOND,WA,23:00,1995-04-12,"Friday Harbor, WA"
8007,Pottstown,,,PA,12:00,1995-04-13,"Pottstown, PA"
8008,Brooklyn,,,AR,23:07,1995-04-13,"Brooklyn, AR"
8009,West Memphis,GREEN,,TN,23:07,1995-04-13,"West Memphis, TN"
8010,Brooklyn,,,AR,23:08,1995-04-13,"Brooklyn, AR"
8011,Tacoma,,,WA,21:00,1995-04-14,"Tacoma, WA"
8012,Boston,GREEN,,MA,22:00,1995-04-14,"Boston, MA"
8013,Newell area,,,SD,00:00,1995-04-15,"Newell area, SD"
8014,Austin,,OTHER,TX,12:00,1995-04-15,"Austin, TX"
8015,Earlville,,,PA,19:30,1995-04-15,"Earlville, PA"
8016,Asheville,,TRIANGLE,NC,22:00,1995-04-15,"Asheville, NC"
8017,Gilbert,,,AZ,22:00,1995-04-15,"Gilbert, AZ"
8018,Pinehurst,,TRIANGLE,NC,22:00,1995-04-15,"Pinehurst, NC"
8019,Urbana,,CIRCLE,OH,22:00,1995-04-15,"Urbana, OH"
8020,Kilgore,YELLOW,CIRCLE,TX,23:30,1995-04-15,"Kilgore, TX"
8021,Woodinville,,,WA,01:10,1995-04-16,"Woodinville, WA"
8022,Great Falls,,OVAL,MT,10:30,1995-04-16,"Great Falls, MT"
8023,Medford,,,MA,20:30,1995-04-16,"Medford, MA"
8024,Carrollton,,,GA,21:25,1995-04-16,"Carrollton, GA"
8025,Villa Rica,,,GA,21:45,1995-04-16,"Villa Rica, GA"
8026,Tacoma,,,WA,22:10,1995-04-16,"Tacoma, WA"
8027,Milton,,DISK,DE,19:00,1995-04-17,"Milton, DE"
8028,Pacificia,,OVAL,CA,23:00,1995-04-17,"Pacificia, CA"
8029,Leesport,,,PA,20:30,1995-04-18,"Leesport, PA"
8030,Gilbertsville,ORANGE,,PA,22:34,1995-04-18,"Gilbertsville, PA"
8031,New Smyrna Beach,,,FL,00:30,1995-04-19,"New Smyrna Beach, FL"
8032,Pembrook Pines,,,FL,19:30,1995-04-19,"Pembrook Pines, FL"
8033,Clovis,,,CA,19:58,1995-04-19,"Clovis, CA"
8034,Binghamton,,,NY,21:44,1995-04-19,"Binghamton, NY"
8035,Richmond,,,VA,21:45,1995-04-19,"Richmond, VA"
8036,Augusta,,,ME,22:19,1995-04-19,"Augusta, ME"
8037,Lake Sullivan,,LIGHT,ID,23:00,1995-04-19,"Lake Sullivan, ID"
8038,Fargo,RED,,ND,00:02,1995-04-20,"Fargo, ND"
8039,Watauga,,,TX,23:20,1995-04-20,"Watauga, TX"
8040,Hansville,BLUE,,WA,00:00,1995-04-21,"Hansville, WA"
8041,Palatine,RED,FIREBALL,IL,09:30,1995-04-21,"Palatine, IL"
8042,Newport,,,OR,23:00,1995-04-21,"Newport, OR"
8043,Oregon,,,IL,23:49,1995-04-21,"Oregon, IL"
8044,Danville,,,IL,00:00,1995-04-22,"Danville, IL"
8045,Louisville,,,KY,00:30,1995-04-22,"Louisville, KY"
8046,Oregon City,,,OR,01:05,1995-04-22,"Oregon City, OR"
8047,Milpitas,,,CA,15:00,1995-04-22,"Milpitas, CA"
8048,Portland,,,OR,17:15,1995-04-22,"Portland, OR"
8049,Bakersfield,,,CA,21:44,1995-04-22,"Bakersfield, CA"
8050,Seattle,,,WA,22:37,1995-04-22,"Seattle, WA"
8051,Oregon,,,IL,23:49,1995-04-22,"Oregon, IL"
8052,Wheeling,,LIGHT,WV,01:30,1995-04-23,"Wheeling, WV"
8053,MM 99 mile Exit,,,WA,03:45,1995-04-23,"MM 99 mile Exit, WA"
8054,Bradenton,,,FL,21:30,1995-04-23,"Bradenton, FL"
8055,Hickory Corners,,,MI,21:30,1995-04-23,"Hickory Corners, MI"
8056,Beaver Creek,,,OR,22:14,1995-04-24,"Beaver Creek, OR"
8057,Quartzsite,,TRIANGLE,AZ,01:30,1995-04-25,"Quartzsite, AZ"
8058,Grape Creek,,,IL,02:30,1995-04-25,"Grape Creek, IL"
8059,Portland,,,OR,12:30,1995-04-25,"Portland, OR"
8060,Brooklyn,,,OH,15:15,1995-04-25,"Brooklyn, OH"
8061,Flagstaff,RED,TRIANGLE,AZ,02:45,1995-04-28,"Flagstaff, AZ"
8062,Grand Rapids,,TRIANGLE,MI,09:30,1995-04-28,"Grand Rapids, MI"
8063,Spokane,,,WA,00:00,1995-04-29,"Spokane, WA"
8064,Mt. City,,,TN,11:55,1995-04-30,"Mt. City, TN"
8065,San Diego,,,CA,20:55,1995-04-30,"San Diego, CA"
8066,Riverview,,,FL,22:00,1995-04-30,"Riverview, FL"
8067,Lansing,,CIRCLE,MI,23:30,1995-04-30,"Lansing, MI"
8068,White Sands,,CHEVRON,NM,12:00,1995-05-01,"White Sands, NM"
8069,Killawog,RED YELLOW,LIGHT,NY,18:00,1995-05-01,"Killawog, NY"
8070,Sun Prairie,,CROSS,WI,21:00,1995-05-01,"Sun Prairie, WI"
8071,Brockton,,TRIANGLE,MA,21:30,1995-05-01,"Brockton, MA"
8072,Zanesville,,,OH,22:00,1995-05-01,"Zanesville, OH"
8073,Memphis,,,TN,12:00,1995-05-02,"Memphis, TN"
8074,Reno,,,NV,00:54,1995-05-03,"Reno, NV"
8075,Amsterdam,,,NY,04:05,1995-05-03,"Amsterdam, NY"
8076,Alden,,LIGHT,NY,22:30,1995-05-03,"Alden, NY"
8077,Fremont,,CONE,OH,15:15,1995-05-05,"Fremont, OH"
8078,Conifer,,CIRCLE,CO,22:00,1995-05-05,"Conifer, CO"
8079,Huntington,,,NY,14:00,1995-05-06,"Huntington, NY"
8080,Watertown,,LIGHT,CT,21:00,1995-05-06,"Watertown, CT"
8081,Lebanon,,,OR,23:30,1995-05-06,"Lebanon, OR"
8082,Phoenix,,FORMATION,AZ,01:00,1995-05-07,"Phoenix, AZ"
8083,Gresham,,,OR,01:30,1995-05-07,"Gresham, OR"
8084,Cannon,,,NH,04:25,1995-05-07,"Cannon, NH"
8085,Massillon,,,OH,12:20,1995-05-07,"Massillon, OH"
8086,Seattle,,,WA,23:45,1995-05-07,"Seattle, WA"
8087,Vista,,,CA,21:10,1995-05-09,"Vista, CA"
8088,Columbia,,,MO,03:00,1995-05-10,"Columbia, MO"
8089,Houston,BLUE,LIGHT,TX,19:00,1995-05-10,"Houston, TX"
8090,Whiteriver,,LIGHT,AZ,19:00,1995-05-10,"Whiteriver, AZ"
8091,Palm Desert,,,CA,00:15,1995-05-11,"Palm Desert, CA"
8092,Edwards AFB,,,CA,00:00,1995-05-12,"Edwards AFB, CA"
8093,Carmichael,,,CA,00:15,1995-05-12,"Carmichael, CA"
8094,Madison,,,WI,02:00,1995-05-12,"Madison, WI"
8095,Starkey,,,OR,07:30,1995-05-12,"Starkey, OR"
8096,Lackland AFB,,DISK,TX,12:00,1995-05-12,"Lackland AFB, TX"
8097,Ozark,BLUE,CIGAR,MO,14:00,1995-05-12,"Ozark, MO"
8098,Santa Fe,,CHEVRON,TX,20:00,1995-05-12,"Santa Fe, TX"
8099,Duarte,,,CA,22:50,1995-05-12,"Duarte, CA"
8100,Scottsdale,,OTHER,AZ,14:00,1995-05-13,"Scottsdale, AZ"
8101,Seattle,RED,TRIANGLE,WA,19:30,1995-05-13,"Seattle, WA"
8102,Tampa,,,FL,20:25,1995-05-13,"Tampa, FL"
8103,Neah Bay,,,WA,21:30,1995-05-13,"Neah Bay, WA"
8104,Framingham,,,MA,21:40,1995-05-13,"Framingham, MA"
8105,Dayton,,,OR,00:54,1995-05-14,"Dayton, OR"
8106,Lake Forest,,,IL,03:00,1995-05-14,"Lake Forest, IL"
8107,Silver Beach,,,NY,20:37,1995-05-14,"Silver Beach, NY"
8108,McKenzie,,,TN,00:00,1995-05-15,"McKenzie, TN"
8109,Normal,,TRIANGLE,IL,00:00,1995-05-15,"Normal, IL"
